keyword_id,url_id,term,normalized_term
2,7,nmap,nmap
2,9,apr spoof windows,apr spoof windows
2,10,ettercap,ettercap
2,13,ettercap windows,ettercap windows
2,14,bettercap windows,bettercap windows
2,19,wireshark,wireshark
2,22,bettercap tutorial,bettercap tutorial
2,33,bettercap default credentials,bettercap default credentials
2,48,hacker background,hacker background
2,49,hacker background,hacker background
2,50,hacker background,hacker background
2,51,hacker background,hacker background
2,52,hacker background,hacker background
2,53,hacker background,hacker background
2,54,hacking toola,hacking toola
2,56,grep or,grep or
2,58,awk remove only the first field,awk remove only the first field
2,60,filezilla,filezilla
2,75,cain & able download,cain & able download
2,80,how to hide your ip address,how to hide your ip address
2,81,tor,tor
2,87,rockyou text download,rockyou text download
2,88,password cracking lists,password cracking lists
2,103,7zip,7zip
